"Month","Product","Location","Quantity","Factor"
"201801","P10","C1","5","1"
"201801","P10","C2","12","0"
"201801","P13","C1","266","1"
"201801","P13","C2","142","6"
"201801","P16","C3","12","4"
"201801","P2","C3","32","4"
"201801","P3","C5","16347","0"
"201801","P7","C5","2903","0"
"201802","P10","C1","7","0"
"201802","P10","C2","12","0"
"201802","P13","C1","6","1"
"201802","P13","C2","3","6"
"201802","P16","C3","2","1"
"201802","P2","C3","45","3"
"201802","P3","C5","2709","0"
"201802","P7","C5","20","0"
"201803","P10","C1","4","1"
"201803","P10","C2","6","0"
"201803","P13","C1","1","1"
"201803","P13","C2","1","3"
"201803","P16","C3","2","0"
"201803","P2","C3","29","4"
"201803","P3","C5","11100","0"
"201803","P7","C5","520","0"
"201804","P10","C1","3","0"
"201804","P10","C2","19","0"
"201804","P13","C1","889","3"
"201804","P13","C2","1","3"
"201804","P16","C3","2","0"
"201804","P2","C3","32","2"
"201804","P3","C5","1956","0"
"201804","P7","C5","168","0"
"201805","P10","C1","1","1"
"201805","P10","C2","16","0"
"201805","P13","C1","258","0"
"201805","P13","C2","2","2"
"201805","P14","C4","2","0"
"201805","P2","C3","37","5"
"201805","P3","C5","10759","0"
"201805","P5","C4","8","0"
"201805","P7","C5","204","0"
"201806","P10","C1","2","0"
"201806","P10","C2","14","0"
"201806","P13","C1","6","7"
"201806","P13","C2","101","8"
"201806","P14","C4","2","0"
"201806","P16","C3","2","0"
"201806","P2","C3","33","3"
"201806","P3","C5","13785","0"
"201806","P5","C4","28","0"
"201806","P7","C5","332","0"
"201807","P10","C1","4","0"
"201807","P10","C2","15","0"
"201807","P13","C1","247","9"
"201807","P13","C2","260","9"
"201807","P16","C3","3","3"
"201807","P2","C3","39","2"
"201807","P3","C5","5684","0"
"201807","P5","C4","12","0"
"201807","P7","C5","620","0"
"201808","P10","C1","4","1"
"201808","P10","C2","3","0"
"201808","P13","C1","1217","11"
"201808","P13","C2","8","1"
"201808","P16","C3","5","3"
"201808","P2","C3","64","3"
"201808","P3","C5","14225","0"
"201808","P5","C4","35","0"
"201808","P7","C5","671","0"
"201809","P10","C1","4","1"
"201809","P10","C2","6","0"
"201809","P13","C1","773","11"
"201809","P14","C4","6","0"
"201809","P16","C3","5","2"
"201809","P2","C3","45","2"
"201809","P3","C5","9819","0"
"201809","P5","C4","69","0"
"201809","P7","C5","252","0"
"201810","P10","C1","2","1"
"201810","P10","C2","13","0"
"201810","P13","C1","128","8"
"201810","P13","C2","12","2"
"201810","P2","C3","30","2"
"201810","P3","C5","11776","0"
"201810","P5","C4","15","0"
"201810","P7","C5","440","0"
"201811","P10","C1","4","0"
"201811","P10","C2","9","0"
"201811","P13","C1","64","4"
"201811","P13","C2","17","2"
"201811","P14","C4","13","0"
"201811","P16","C3","1","1"
"201811","P2","C3","35","2"
"201811","P3","C5","10210","0"
"201811","P5","C4","18","0"
"201811","P7","C5","310","0"
"201812","P10","C2","15","0"
"201812","P13","C1","176","5"
"201812","P13","C2","79","3"
"201812","P14","C4","10","0"
"201812","P16","C3","5","0"
"201812","P2","C3","11","2"
"201812","P3","C5","4624","0"
"201812","P5","C4","45","0"
"201812","P7","C5","405","0"
"201901","P10","C2","12","0"
"201901","P13","C1","7","5"
"201901","P14","C4","6","0"
"201901","P2","C3","39","4"
"201901","P3","C5","14719","0"
"201901","P5","C4","23","0"
"201901","P7","C5","470","0"
"201902","P10","C2","5","0"
"201902","P13","C1","1","4"
"201902","P13","C2","2","1"
"201902","P14","C4","4","0"
"201902","P2","C3","30","4"
"201902","P3","C5","7632","0"
"201902","P5","C4","8","0"
"201902","P7","C5","515","0"
"201903","P10","C1","3","1"
"201903","P10","C2","32","0"
"201903","P13","C1","32","5"
"201903","P13","C2","4","1"
"201903","P14","C4","18","0"
"201903","P2","C3","16","3"
"201903","P3","C5","19982","0"
"201903","P5","C4","29","0"
"201903","P7","C5","269","0"
"201904","P10","C2","13","0"
"201904","P14","C4","16","0"
"201904","P2","C3","19","3"
"201904","P3","C5","4396","0"
"201904","P5","C4","27","0"
"201904","P7","C5","415","0"
"201905","P10","C1","1","1"
"201905","P10","C2","10","0"
"201905","P13","C1","15","5"
"201905","P13","C2","1","1"
"201905","P14","C4","6","0"
"201905","P16","C3","3","3"
"201905","P2","C3","17","2"
"201905","P3","C5","15431","0"
"201905","P5","C4","38","0"
"201905","P7","C5","1485","0"
"201906","P10","C1","1","1"
"201906","P10","C2","9","0"
"201906","P13","C1","837","17"
"201906","P13","C2","75","4"
"201906","P14","C4","12","0"
"201906","P2","C3","20","2"
"201906","P3","C5","19964","0"
"201906","P5","C4","28","0"
"201906","P7","C5","542","0"
